import time: self [us] | cumulative | imported package
import time:       627 |        627 |             numpy.lib._arrayterator_impl
import time:       733 |        733 |             numpy.lib._arraypad_impl
import time:       590 |        590 |             numpy.lib._version
import time:      1233 |      49885 |           numpy.lib
import time:       567 |        567 |           numpy._array_api_info
import time:      3013 |     116130 |         numpy
import time:       975 |     117105 |       pygame.surfarray
import time:       660 |        660 |       pygame.sndarray
import time:       543 |        543 |       pygame.fastevent
import time:       539 |        539 |         pkg_resources
import time:       550 |       1089 |       pygame.pkgdata
import time:      2525 |     170805 |     pygame
import time:      1195 |       1195 |       pygame._freetype
import time:      1157 |       2352 |     pygame.freetype
import time:     95404 |     269879 |   stdlib.window
import time:       452 |        452 |       engine
import time:       350 |        350 |       engine.assets
import time:       554 |       1355 |     engine.sprites
import time:       554 |       1908 |   stdlib.graphics
import time:       371 |        371 |   stdlib.audio
import time:       335 |        335 |   stdlib.files
import time:       922 |        922 |                 token
import time:      1776 |       2698 |               tokenize
import time:       681 |       3378 |             linecache
import time:       865 |       4243 |           traceback
import time:        80 |         80 |             _string
import time:      1939 |       2018 |           string
import time:      3085 |       9345 |         logging
import time:      1898 |       1898 |             _socket
import time:       591 |        591 |               select
import time:      1130 |       1721 |             selectors
import time:      1937 |       5555 |           socket
import time:       827 |        827 |             email
import time:      1184 |       2010 |           email.errors
import time:      1759 |       1759 |             http
import time:       181 |        181 |                     binascii
import time:       742 |        742 |                     email.quoprimime
import time:       809 |        809 |                       base64
import time:       587 |       1395 |                     email.base64mime
import time:       641 |        641 |                         quopri
import time:       485 |       1126 |                       email.encoders
import time:       673 |       1798 |                     email.charset
import time:      1523 |       5638 |                   email.header
import time:        61 |         61 |                         _bisect
import time:       678 |        738 |                       bisect
import time:        55 |         55 |                       _random
import time:        58 |         58 |                       _sha512
import time:       972 |       1822 |                     random
import time:      1456 |       1456 |                         locale
import time:      1712 |       3168 |                       calendar
import time:       587 |       3754 |                     email._parseaddr
import time:       983 |       6558 |                   email.utils
import time:       781 |      12977 |                 email._policybase
import time:      1169 |      14145 |               email.feedparser
import time:       631 |      14776 |             email.parser
import time:       775 |        775 |               uu
import time:       740 |        740 |               email._encoded_words
import time:       566 |        566 |               email.iterators
import time:      1150 |       3229 |             email.message
import time:      2153 |       2153 |               _ssl
import time:      3729 |       5881 |             ssl
import time:      1684 |      27328 |           http.client
import time:      1572 |      36463 |         urllib3.exceptions
import time:       875 |        875 |                 urllib3.util.timeout
import time:      1398 |       2273 |               urllib3.util.connection
import time:       638 |        638 |                 urllib3.util.util
import time:       610 |        610 |                 brotlicffi
import time:       962 |        962 |                   _brotli
import time:       812 |       1774 |                 brotli
import time:       633 |        633 |                 backports
import time:      1133 |       4787 |               urllib3.util.request
import time:       848 |        848 |               urllib3.util.response
import time:      1055 |       1055 |               urllib3.util.retry
import time:      1080 |       1080 |                   _hashlib
import time:        71 |         71 |                   _blake2
import time:       823 |       1973 |                 hashlib
import time:       796 |        796 |                 hmac
import time:     13677 |      13677 |                 urllib3.util.url
import time:       976 |        976 |                 urllib3.util.ssltransport
import time:      1016 |      18436 |               urllib3.util.ssl_
import time:       615 |        615 |               urllib3.util.wait
import time:       779 |      28790 |             urllib3.util
import time:        37 |      28826 |           urllib3.util.connection
import time:      1350 |      30176 |         urllib3._base_connection
import time:      1372 |       1372 |         urllib3._collections
import time:       916 |        916 |         urllib3._version
import time:        90 |         90 |                   _json
import time:      1006 |       1095 |                 json.scanner
import time:      1023 |       2118 |               json.decoder
import time:      1100 |       1100 |               json.encoder
import time:       854 |       4071 |             json
import time:       822 |        822 |                 mimetypes
import time:       674 |       1495 |               urllib3.fields
import time:       663 |       2158 |             urllib3.filepost
import time:       198 |        198 |               zlib
import time:       527 |        527 |               brotlicffi
import time:       897 |        897 |                     importlib
import time:       101 |        101 |                       _csv
import time:      1005 |       1106 |                     csv
import time:       693 |        693 |                         importlib._abc
import time:       835 |       1527 |                       importlib.util
import time:       906 |        906 |                           _compression
import time:       785 |        785 |                           _bz2
import time:       943 |       2633 |                         bz2
import time:       651 |        651 |                           _lzma
import time:       954 |       1604 |                         lzma
import time:      1252 |       5488 |                       shutil
import time:      1547 |       8561 |                     zipfile
import time:       666 |        666 |                         importlib.metadata._functools
import time:       716 |       1382 |                       importlib.metadata._text
import time:      1040 |       2421 |                     importlib.metadata._adapters
import time:      1514 |       1514 |                     importlib.metadata._meta
import time:       882 |        882 |                     importlib.metadata._collections
import time:       670 |        670 |                     importlib.metadata._itertools
import time:       642 |        642 |                       importlib.machinery
import time:      1066 |       1708 |                     importlib.abc
import time:      2240 |      19995 |                   importlib.metadata
import time:       815 |      20809 |                 urllib3.http2
import time:       879 |        879 |                 urllib3.http2.probe
import time:      1898 |       1898 |                   ipaddress
import time:       677 |       2575 |                 urllib3.util.ssl_match_hostname
import time:      1289 |      25550 |               urllib3.connection
import time:       566 |        566 |               backports
import time:      1067 |      27907 |             urllib3.response
import time:       846 |      34980 |           urllib3._request_methods
import time:       723 |        723 |           urllib3.util.proxy
import time:      1242 |      36945 |         urllib3.connectionpool
import time:      1627 |       1627 |         urllib3.poolmanager
import time:      1110 |     117950 |       urllib3
import time:       916 |        916 |               81d243bd2c585b0f4821__mypyc
import time:      2307 |       2307 |               charset_normalizer.constant
import time:       774 |        774 |                 unicodedata
import time:        79 |         79 |                 _multibytecodec
import time:      1089 |       1941 |               charset_normalizer.utils
import time:      1047 |       1047 |               charset_normalizer.models
import time:       992 |       7202 |             charset_normalizer.cd
import time:        59 |         59 |             _codecs_tw
import time:        54 |         54 |             _codecs_hk
import time:        60 |         60 |             _codecs_jp
import time:        53 |         53 |             _codecs_kr
import time:        92 |         92 |             _codecs_cn
import time:        53 |         53 |             _codecs_iso2022
import time:     60059 |      67630 |           charset_normalizer.api
import time:       599 |        599 |           charset_normalizer.legacy
import time:       473 |        473 |           charset_normalizer.version
import time:       624 |        624 |           simplejson
import time:       614 |        614 |                   org
import time:        33 |        647 |                 org.python
import time:        33 |        679 |               org.python.core
import time:       796 |       1475 |             copy
import time:       897 |        897 |               tempfile
import time:       618 |        618 |                 urllib.response
import time:       571 |       1188 |               urllib.error
import time:       748 |        748 |               nturl2path
import time:      2081 |       4913 |             urllib.request
import time:      5276 |      11663 |           http.cookiejar
import time:      2858 |       2858 |           http.cookies
import time:      2341 |      86185 |         requests.compat
import time:      1227 |      87412 |       requests.exceptions
import time:       626 |        626 |       chardet
import time:      1208 |       1208 |             idna.idnadata
import time:       644 |        644 |             idna.intranges
import time:      1363 |       3214 |           idna.core
import time:       531 |        531 |           idna.package_data
import time:      1071 |       4816 |         idna
import time:      1205 |       6020 |       requests.packages
import time:       633 |        633 |                   importlib._adapters
import time:       637 |       1270 |                 importlib._common
import time:       793 |       2063 |               importlib.resources
import time:       696 |       2758 |             certifi.core
import time:       897 |       3655 |           certifi
import time:       552 |       4207 |         requests.certs
import time:       537 |        537 |         requests.__version__
import time:       930 |        930 |         requests._internal_utils
import time:       761 |        761 |         requests.cookies
import time:       611 |        611 |         requests.structures
import time:       651 |        651 |         importlib.readers
import time:      1068 |       8763 |       requests.utils
import time:       819 |        819 |             requests.auth
import time:       904 |        904 |                 stringprep
import time:       651 |       1554 |               encodings.idna
import time:       586 |        586 |               requests.hooks
import time:       917 |        917 |               requests.status_codes
import time:       875 |       3931 |             requests.models
import time:       635 |        635 |               urllib3.contrib
import time:       608 |        608 |               socks
import time:       754 |       1996 |             urllib3.contrib.socks
import time:       743 |       7487 |           requests.adapters
import time:       697 |       8184 |         requests.sessions
import time:       573 |       8756 |       requests.api
import time:      1130 |     230654 |     requests
import time:       326 |     230980 |   stdlib.internet
import time:       405 |        405 |   stdlib.sound
import time:       416 |        416 |   stdlib.gui
import time:       337 |        337 |   stdlib.fs
import time:       324 |        324 |   stdlib.mathx
import time:       320 |        320 |   stdlib.network
import time:      1270 |     530355 | core.runtime
